iter	Passed	Remaining
0	1	185
1	4	202
2	6	194
3	7	184
4	9	179
5	11	176
6	13	175
7	14	167
8	15	161
9	17	157
10	19	158
11	21	155
12	22	151
13	24	148
14	32	186
15	34	180
16	36	178
17	38	173
18	39	169
19	41	166
20	43	163
21	44	159
22	46	156
23	48	154
24	50	150
25	51	147
26	53	143
27	54	139
28	55	136
29	58	135
30	59	132
31	61	129
32	62	127
33	64	124
34	65	121
35	66	118
36	68	115
37	69	113
38	71	111
39	72	108
40	74	106
41	74	103
42	76	100
43	77	98
44	78	96
45	80	94
46	81	91
47	82	89
48	84	87
49	86	86
50	87	84
51	89	82
52	90	80
53	91	78
54	92	75
55	93	73
56	95	71
57	96	69
58	97	67
59	99	66
60	101	64
61	102	62
62	103	60
63	105	59
64	106	57
65	108	55
66	109	53
67	110	52
68	112	50
69	113	48
70	114	46
71	116	45
72	117	43
73	119	41
74	120	40
75	122	38
76	123	36
77	125	35
78	126	33
79	127	31
80	129	30
81	131	28
82	132	27
83	134	25
84	135	23
85	136	22
86	138	20
87	139	18
88	140	17
89	141	15
90	143	14
91	145	12
92	146	11
93	148	9
94	149	7
95	151	6
96	152	4
97	154	3
98	155	1
99	157	0
